X,ID,FC,logFC,t,P.Value,adj.P.Val,B,Regulation
PRC1,6630,1.178225742,1.085461074,4.422681587,1.60E-05,0.0056555,2.786147751,Up
CD24,1371,1.132769004,1.064316214,3.97888451,9.69E-05,0.016556047,1.177591692,Up
CCNB2,1318,1.096666054,1.047218246,4.069021149,6.80E-05,0.013098771,1.492855944,Up
HMMR,3852,1.093848873,1.045872303,3.42648994,0.000742463,0.049266989,-0.621663121,Up
CPVL,1912,1.075698906,-1.037159055,-3.407110707,0.000794078,0.049971413,-0.68052941,Down
RGL1,10379,1.064528705,1.031760004,4.635748448,6.42E-06,0.003549781,3.607368907,Up
MLF1IP,5138,1.029973484,1.014876093,4.360385608,2.08E-05,0.006642656,2.551935923,Up
FABP5,2856,0.987775016,0.993868712,4.566464005,8.67E-06,0.003995042,3.336936815,Up
MAD2L1,4838,0.987346541,0.993653129,3.573465119,0.000441771,0.038284314,-0.165676763,Up
CD69,1406,0.97027555,0.98502566,3.425920666,0.000743933,0.049266989,-0.623396546,Up
RGS2,7172,0.955402771,-0.977447068,-3.717492757,0.000261372,0.029462712,0.297322017,Down
EMP1,2685,0.924425163,0.961470313,3.60020402,0.000401236,0.037049905,-0.080921532,Up
RACGAP1,10366,0.922396805,0.960414913,4.150199993,4.92E-05,0.01075082,1.78183929,Up
FGL2,3026,0.907967663,-0.952873372,-4.147489176,4.97E-05,0.01075082,1.772112544,Down
TTK,9105,0.899312734,0.948321008,3.678851374,0.00030136,0.03258383,0.171548591,Up
NME1,5644,0.897740719,0.947491804,3.471369611,0.000634735,0.046383826,-0.484207903,Up
TFRC,8646,0.887884426,0.942276194,4.128021513,5.38E-05,0.011168103,1.702415429,Up
CTSL1,2048,0.852825278,0.923485397,4.20559124,3.93E-05,0.009688306,1.981743133,Up
EBI3,2533,0.851675653,0.922862749,5.085550762,8.43E-07,0.00127548,5.43993767,Up
SHCBP1,7737,0.816090709,0.90337739,3.479995838,0.000615785,0.045695108,-0.457607731,Up
CCRL2,1348,0.7925564,0.890256367,3.481793114,0.000611904,0.045695108,-0.452058281,Up
KIF14,4456,0.770415497,0.877733158,3.993494931,9.15E-05,0.016160363,1.228290085,Up
MELK,5053,0.754034651,0.868351686,4.327544436,2.38E-05,0.007200266,2.429553519,Up
TFDP2,8633,0.742852139,0.861888705,4.26682312,3.06E-05,0.008319455,2.20527091,Up
MT1G,5297,0.733886149,0.856671552,4.6610163,5.75E-06,0.003384023,3.70679841,Up
